Software Version,3.11.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read OD600:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,T� Read OD600:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:07:04,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.086,0.090,0.090,0.091,0.087,0.079,0.078,,,0.081,0.111,0.113,0.114,0.112,0.109,0.098,0.093,0.089,0.081,,,0.092,0.105,0.105,0.106,0.111,0.110,0.102,0.093,0.091,0.088,,,0.097,0.099,0.098,0.101,0.101,0.102,0.104,0.095,0.093,0.089,,,0.093,0.096,0.098,0.097,0.099,0.099,0.101,0.097,0.095,0.086,,,0.079,0.097,0.098,0.099,0.100,0.099,0.093,0.088,0.079,0.079,,,,,,,,,,,,,
0:14:36,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.077,,,0.080,0.103,0.103,0.104,0.102,0.100,0.079,0.079,0.080,0.081,,,0.079,0.096,0.095,0.095,0.101,0.099,0.092,0.087,0.079,0.081,,,0.081,0.088,0.087,0.089,0.089,0.090,0.096,0.090,0.086,0.079,,,0.080,0.086,0.088,0.086,0.088,0.087,0.093,0.092,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
0:22:08,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.104,0.104,0.105,0.103,0.100,0.080,0.079,0.080,0.081,,,0.079,0.097,0.095,0.096,0.101,0.100,0.078,0.078,0.078,0.081,,,0.081,0.088,0.087,0.089,0.089,0.090,0.082,0.084,0.081,0.079,,,0.080,0.086,0.088,0.086,0.088,0.088,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
0:29:40,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.079,0.105,0.105,0.106,0.104,0.101,0.080,0.079,0.079,0.081,,,0.079,0.097,0.096,0.096,0.102,0.100,0.078,0.078,0.078,0.081,,,0.081,0.088,0.087,0.090,0.089,0.090,0.080,0.079,0.080,0.079,,,0.080,0.086,0.088,0.087,0.088,0.088,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
0:37:12,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.077,,,0.080,0.106,0.107,0.107,0.106,0.103,0.080,0.080,0.080,0.082,,,0.079,0.098,0.096,0.097,0.102,0.101,0.078,0.078,0.079,0.082,,,0.081,0.089,0.087,0.090,0.090,0.091,0.080,0.079,0.080,0.079,,,0.080,0.086,0.088,0.087,0.088,0.088,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
0:44:44,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.107,0.108,0.109,0.107,0.103,0.079,0.079,0.080,0.082,,,0.079,0.098,0.097,0.097,0.103,0.102,0.078,0.078,0.078,0.081,,,0.082,0.089,0.088,0.090,0.090,0.091,0.080,0.079,0.081,0.079,,,0.080,0.087,0.088,0.087,0.088,0.088,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
0:52:16,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.079,0.108,0.109,0.110,0.108,0.104,0.080,0.079,0.079,0.082,,,0.079,0.099,0.098,0.098,0.103,0.102,0.078,0.078,0.079,0.082,,,0.081,0.089,0.088,0.090,0.090,0.092,0.080,0.079,0.080,0.079,,,0.080,0.087,0.088,0.087,0.089,0.088,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
0:59:48,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.110,0.110,0.112,0.110,0.106,0.079,0.079,0.080,0.082,,,0.079,0.099,0.098,0.098,0.104,0.103,0.078,0.078,0.078,0.081,,,0.081,0.089,0.088,0.091,0.091,0.092,0.080,0.079,0.080,0.079,,,0.080,0.087,0.088,0.087,0.089,0.088,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
1:07:20,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.079,0.111,0.112,0.113,0.112,0.107,0.080,0.080,0.080,0.082,,,0.079,0.100,0.099,0.099,0.105,0.104,0.078,0.078,0.078,0.082,,,0.081,0.090,0.089,0.091,0.091,0.092,0.080,0.079,0.080,0.079,,,0.080,0.087,0.088,0.087,0.089,0.088,0.079,0.081,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
1:14:52,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.077,,,0.080,0.113,0.114,0.115,0.113,0.108,0.079,0.079,0.080,0.082,,,0.079,0.101,0.100,0.100,0.106,0.105,0.078,0.078,0.078,0.081,,,0.081,0.090,0.089,0.091,0.091,0.093,0.080,0.079,0.081,0.079,,,0.080,0.087,0.088,0.087,0.089,0.088,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
1:22:24,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.115,0.115,0.117,0.115,0.110,0.080,0.080,0.080,0.082,,,0.079,0.102,0.101,0.101,0.107,0.106,0.078,0.078,0.078,0.081,,,0.081,0.090,0.090,0.092,0.092,0.093,0.080,0.079,0.081,0.079,,,0.080,0.087,0.088,0.087,0.089,0.089,0.079,0.081,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
1:29:56,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.117,0.117,0.118,0.117,0.112,0.079,0.079,0.080,0.082,,,0.079,0.103,0.102,0.102,0.108,0.107,0.078,0.079,0.078,0.081,,,0.082,0.091,0.090,0.092,0.092,0.093,0.080,0.079,0.081,0.080,,,0.080,0.087,0.089,0.088,0.089,0.089,0.079,0.081,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
1:37:28,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.119,0.119,0.121,0.119,0.113,0.080,0.079,0.079,0.082,,,0.079,0.104,0.103,0.103,0.109,0.108,0.078,0.078,0.078,0.082,,,0.081,0.091,0.090,0.093,0.093,0.094,0.080,0.079,0.080,0.079,,,0.080,0.087,0.089,0.088,0.089,0.089,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
1:45:00,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.079,0.078,0.081,0.082,0.079,0.078,,,0.080,0.121,0.122,0.123,0.121,0.115,0.079,0.079,0.080,0.082,,,0.079,0.105,0.104,0.104,0.110,0.110,0.078,0.078,0.078,0.081,,,0.081,0.092,0.091,0.093,0.093,0.095,0.080,0.079,0.081,0.079,,,0.080,0.088,0.089,0.088,0.089,0.089,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
1:52:32,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.077,,,0.080,0.123,0.124,0.125,0.123,0.117,0.079,0.079,0.080,0.082,,,0.079,0.106,0.105,0.105,0.112,0.111,0.078,0.079,0.079,0.081,,,0.081,0.092,0.091,0.094,0.094,0.095,0.080,0.079,0.080,0.079,,,0.080,0.088,0.089,0.088,0.090,0.089,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
2:00:04,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.126,0.127,0.128,0.126,0.119,0.080,0.080,0.080,0.082,,,0.079,0.107,0.106,0.106,0.113,0.112,0.078,0.078,0.078,0.082,,,0.082,0.093,0.092,0.094,0.094,0.096,0.080,0.079,0.081,0.079,,,0.080,0.088,0.089,0.088,0.090,0.089,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
2:07:36,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.077,,,0.080,0.128,0.129,0.130,0.128,0.121,0.080,0.079,0.080,0.082,,,0.079,0.108,0.107,0.107,0.114,0.114,0.078,0.079,0.079,0.082,,,0.081,0.093,0.092,0.095,0.095,0.096,0.080,0.079,0.080,0.079,,,0.080,0.088,0.089,0.088,0.090,0.090,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
2:15:08,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.077,,,0.080,0.131,0.132,0.133,0.131,0.123,0.079,0.079,0.079,0.082,,,0.079,0.110,0.108,0.109,0.116,0.115,0.078,0.079,0.079,0.082,,,0.081,0.094,0.093,0.095,0.096,0.097,0.080,0.079,0.080,0.079,,,0.080,0.088,0.090,0.089,0.090,0.090,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
2:22:40,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.134,0.135,0.136,0.134,0.126,0.080,0.079,0.080,0.082,,,0.079,0.111,0.110,0.110,0.117,0.117,0.078,0.079,0.079,0.081,,,0.082,0.095,0.094,0.096,0.097,0.098,0.080,0.079,0.081,0.079,,,0.080,0.089,0.090,0.089,0.091,0.090,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
2:30:12,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.079,0.137,0.138,0.139,0.137,0.128,0.079,0.080,0.080,0.082,,,0.079,0.113,0.111,0.112,0.118,0.119,0.078,0.078,0.078,0.082,,,0.081,0.095,0.095,0.097,0.098,0.098,0.080,0.079,0.080,0.079,,,0.080,0.089,0.090,0.089,0.091,0.090,0.079,0.081,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
2:37:44,37.0,,,,,,,,,,,,,,0.079,0.083,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.140,0.141,0.143,0.141,0.131,0.080,0.080,0.080,0.082,,,0.079,0.114,0.113,0.113,0.120,0.121,0.078,0.078,0.078,0.082,,,0.081,0.096,0.096,0.098,0.099,0.099,0.080,0.079,0.080,0.079,,,0.080,0.089,0.091,0.089,0.091,0.091,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
2:45:16,37.0,,,,,,,,,,,,,,0.078,0.083,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.077,,,0.080,0.144,0.145,0.146,0.144,0.134,0.079,0.079,0.080,0.082,,,0.079,0.116,0.114,0.115,0.122,0.122,0.079,0.079,0.078,0.081,,,0.082,0.097,0.097,0.099,0.100,0.100,0.080,0.079,0.081,0.079,,,0.080,0.089,0.091,0.090,0.091,0.091,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
2:52:48,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.147,0.148,0.150,0.148,0.137,0.080,0.079,0.080,0.082,,,0.079,0.117,0.116,0.117,0.124,0.125,0.078,0.078,0.078,0.082,,,0.082,0.098,0.098,0.100,0.101,0.101,0.080,0.079,0.081,0.079,,,0.080,0.090,0.091,0.090,0.091,0.091,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
3:00:20,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.151,0.152,0.154,0.152,0.141,0.080,0.080,0.080,0.082,,,0.079,0.119,0.118,0.118,0.126,0.127,0.078,0.078,0.078,0.082,,,0.081,0.099,0.099,0.101,0.102,0.103,0.080,0.079,0.081,0.079,,,0.080,0.090,0.091,0.090,0.092,0.092,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
3:07:52,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.077,,,0.080,0.156,0.156,0.158,0.156,0.144,0.079,0.079,0.080,0.082,,,0.079,0.121,0.120,0.120,0.128,0.129,0.078,0.078,0.079,0.081,,,0.082,0.100,0.101,0.102,0.104,0.104,0.080,0.079,0.081,0.079,,,0.080,0.090,0.092,0.091,0.092,0.092,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
3:15:24,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.160,0.161,0.163,0.160,0.148,0.080,0.080,0.080,0.082,,,0.079,0.123,0.122,0.122,0.130,0.131,0.079,0.079,0.078,0.082,,,0.082,0.101,0.102,0.104,0.105,0.105,0.080,0.079,0.081,0.079,,,0.080,0.091,0.092,0.091,0.093,0.092,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
3:22:56,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.164,0.165,0.167,0.165,0.152,0.079,0.079,0.080,0.082,,,0.079,0.126,0.124,0.125,0.132,0.134,0.078,0.078,0.079,0.082,,,0.082,0.103,0.104,0.105,0.107,0.107,0.080,0.079,0.080,0.079,,,0.080,0.091,0.092,0.091,0.093,0.093,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
3:30:28,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.169,0.170,0.172,0.170,0.156,0.079,0.080,0.080,0.082,,,0.079,0.128,0.126,0.127,0.135,0.137,0.078,0.078,0.078,0.082,,,0.081,0.104,0.105,0.107,0.108,0.109,0.080,0.079,0.080,0.079,,,0.080,0.092,0.093,0.092,0.093,0.093,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
3:38:00,37.0,,,,,,,,,,,,,,0.079,0.083,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.077,,,0.080,0.174,0.175,0.177,0.175,0.161,0.080,0.079,0.080,0.082,,,0.079,0.130,0.128,0.129,0.137,0.140,0.078,0.078,0.079,0.082,,,0.082,0.106,0.107,0.108,0.110,0.110,0.080,0.079,0.081,0.080,,,0.080,0.092,0.093,0.092,0.094,0.094,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
3:45:32,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.077,,,0.080,0.179,0.180,0.183,0.180,0.165,0.079,0.079,0.080,0.082,,,0.079,0.133,0.131,0.132,0.140,0.143,0.078,0.079,0.079,0.081,,,0.082,0.107,0.109,0.110,0.112,0.112,0.080,0.079,0.081,0.079,,,0.080,0.092,0.094,0.093,0.094,0.094,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
3:53:04,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.185,0.186,0.189,0.187,0.171,0.080,0.079,0.080,0.082,,,0.079,0.135,0.133,0.135,0.142,0.146,0.078,0.079,0.079,0.081,,,0.082,0.109,0.111,0.112,0.114,0.114,0.080,0.079,0.081,0.080,,,0.080,0.093,0.094,0.093,0.095,0.095,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
4:00:36,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.191,0.192,0.195,0.193,0.175,0.080,0.079,0.080,0.082,,,0.079,0.138,0.136,0.137,0.145,0.149,0.078,0.079,0.078,0.081,,,0.081,0.111,0.112,0.114,0.116,0.116,0.080,0.079,0.081,0.079,,,0.080,0.093,0.095,0.094,0.095,0.095,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
4:08:08,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.079,0.197,0.198,0.201,0.199,0.181,0.079,0.079,0.080,0.082,,,0.079,0.141,0.139,0.140,0.148,0.153,0.078,0.079,0.078,0.081,,,0.082,0.113,0.114,0.116,0.118,0.118,0.080,0.079,0.080,0.079,,,0.080,0.094,0.096,0.095,0.096,0.096,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
4:15:40,37.0,,,,,,,,,,,,,,0.078,0.083,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.077,,,0.080,0.203,0.204,0.208,0.206,0.187,0.080,0.079,0.080,0.082,,,0.079,0.144,0.142,0.143,0.152,0.156,0.078,0.078,0.078,0.081,,,0.082,0.115,0.116,0.118,0.120,0.120,0.080,0.079,0.081,0.079,,,0.080,0.095,0.096,0.095,0.096,0.097,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
4:23:12,37.0,,,,,,,,,,,,,,0.079,0.083,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.210,0.211,0.215,0.213,0.193,0.080,0.079,0.080,0.082,,,0.079,0.147,0.145,0.147,0.155,0.160,0.078,0.078,0.078,0.082,,,0.082,0.117,0.119,0.120,0.122,0.122,0.080,0.079,0.080,0.079,,,0.080,0.096,0.097,0.096,0.097,0.098,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.080,0.079,0.079,,,,,,,,,,,,,
4:30:44,36.9,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.217,0.218,0.222,0.220,0.200,0.080,0.079,0.080,0.082,,,0.079,0.150,0.148,0.150,0.159,0.164,0.078,0.079,0.078,0.081,,,0.082,0.119,0.121,0.123,0.125,0.125,0.080,0.079,0.081,0.079,,,0.080,0.096,0.098,0.097,0.098,0.098,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
