

Software Version,3.11.19



Experiment File Path:,C:\Users\cremerlab\Desktop\griffin\useless_expression\Experiment2_SingleKOs.xpt
Protocol File Path:,C:\Users\cremerlab\Desktop\griffin\useless_expression\growth_curves.prt



Plate Number,Plate 7
Date,9/2/2021
Time,11:07:10 AM
Reader Type:,Epoch 2
Reader Serial Number:,2107064
Reading Type,Reader

Procedure Details

Plate Type,96 WELL PLATE (Use plate lid)
Eject plate on completion,
Set Temperature,Setpoint 37°C, Gradient 0 °C
,Preheat before moving to next step
Start Kinetic,Runtime 12:00:00 (HH:MM:SS), Interval 0:07:32, 96 Reads
    Shake,Linear: Continuous
,Frequency: 1096 cpm (1 mm)
    Read,OD600
,Absorbance Endpoint
,B2..G11
,Wavelengths:  600
,Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic,

OD600:600

Time,T° OD600:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
5:31:00,37.0,,,,,,,,,,,,,,0.080,0.081,0.080,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.080,0.087,0.084,0.087,0.086,0.132,0.086,0.094,0.086,0.082,,,0.080,0.087,0.083,0.084,0.087,0.133,0.086,0.092,0.086,0.081,,,0.081,0.084,0.083,0.089,0.088,0.136,0.086,0.093,0.087,0.081,,,0.081,0.095,0.096,0.097,0.129,0.130,0.129,0.086,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.080,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
5:38:32,37.0,,,,,,,,,,,,,,0.080,0.081,0.080,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.080,0.087,0.084,0.087,0.086,0.133,0.086,0.094,0.086,0.082,,,0.080,0.087,0.082,0.084,0.087,0.134,0.086,0.092,0.086,0.082,,,0.081,0.084,0.083,0.089,0.088,0.137,0.086,0.093,0.087,0.081,,,0.081,0.095,0.096,0.097,0.130,0.131,0.130,0.086,0.086,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
5:46:04,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.080,0.087,0.084,0.087,0.086,0.134,0.086,0.095,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.135,0.086,0.092,0.086,0.081,,,0.082,0.084,0.082,0.089,0.088,0.137,0.086,0.093,0.087,0.081,,,0.081,0.095,0.096,0.097,0.131,0.132,0.132,0.086,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
5:53:36,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.082,0.082,0.081,0.080,,,0.080,0.087,0.084,0.087,0.086,0.135,0.086,0.095,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.136,0.086,0.093,0.086,0.082,,,0.082,0.084,0.083,0.089,0.088,0.138,0.085,0.094,0.087,0.082,,,0.081,0.095,0.097,0.097,0.132,0.133,0.133,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.080,0.080,0.078,0.081,,,,,,,,,,,,,
6:01:08,37.0,,,,,,,,,,,,,,0.079,0.080,0.080,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.079,0.087,0.084,0.087,0.087,0.136,0.086,0.096,0.086,0.082,,,0.080,0.087,0.082,0.084,0.087,0.136,0.086,0.094,0.086,0.081,,,0.082,0.084,0.083,0.089,0.088,0.139,0.086,0.095,0.087,0.081,,,0.081,0.096,0.097,0.097,0.134,0.135,0.134,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
6:08:40,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.079,0.087,0.085,0.087,0.087,0.137,0.087,0.096,0.087,0.082,,,0.080,0.087,0.083,0.085,0.087,0.138,0.087,0.094,0.086,0.082,,,0.082,0.084,0.083,0.089,0.088,0.141,0.086,0.095,0.087,0.081,,,0.081,0.096,0.097,0.097,0.135,0.136,0.136,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
6:16:12,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.081,0.081,0.080,,,0.080,0.087,0.084,0.087,0.087,0.137,0.087,0.097,0.087,0.082,,,0.080,0.087,0.082,0.084,0.087,0.139,0.086,0.095,0.086,0.081,,,0.082,0.084,0.083,0.089,0.088,0.141,0.086,0.096,0.087,0.081,,,0.081,0.096,0.097,0.097,0.136,0.137,0.137,0.086,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.080,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
6:23:44,37.0,,,,,,,,,,,,,,0.079,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.079,0.087,0.084,0.087,0.087,0.138,0.086,0.097,0.087,0.082,,,0.080,0.087,0.082,0.085,0.087,0.140,0.086,0.095,0.086,0.081,,,0.082,0.084,0.082,0.089,0.088,0.143,0.086,0.096,0.087,0.081,,,0.081,0.096,0.097,0.097,0.138,0.139,0.138,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
6:31:16,37.0,,,,,,,,,,,,,,0.079,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.079,0.087,0.084,0.087,0.087,0.139,0.087,0.098,0.087,0.082,,,0.080,0.087,0.082,0.085,0.087,0.141,0.087,0.096,0.086,0.081,,,0.081,0.084,0.082,0.090,0.088,0.144,0.086,0.097,0.087,0.081,,,0.081,0.096,0.097,0.097,0.139,0.140,0.139,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.080,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
6:38:48,37.0,,,,,,,,,,,,,,0.079,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.080,0.087,0.084,0.087,0.087,0.141,0.087,0.099,0.087,0.082,,,0.080,0.087,0.083,0.085,0.087,0.142,0.087,0.097,0.086,0.081,,,0.082,0.084,0.083,0.090,0.088,0.145,0.086,0.098,0.087,0.081,,,0.081,0.096,0.097,0.098,0.140,0.141,0.141,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.080,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
6:46:20,37.0,,,,,,,,,,,,,,0.079,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.080,0.087,0.084,0.087,0.087,0.142,0.087,0.100,0.087,0.082,,,0.080,0.087,0.082,0.085,0.087,0.143,0.087,0.097,0.086,0.082,,,0.082,0.084,0.083,0.090,0.088,0.146,0.086,0.098,0.087,0.081,,,0.081,0.096,0.097,0.098,0.141,0.143,0.142,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.079,0.081,,,,,,,,,,,,,
6:53:52,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.079,0.087,0.085,0.087,0.087,0.143,0.087,0.100,0.087,0.082,,,0.080,0.087,0.082,0.085,0.088,0.145,0.087,0.098,0.086,0.082,,,0.082,0.084,0.083,0.090,0.088,0.147,0.086,0.099,0.088,0.081,,,0.081,0.096,0.097,0.098,0.143,0.144,0.144,0.087,0.087,0.085,,,0.081,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
7:01:24,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.080,0.087,0.085,0.087,0.087,0.144,0.087,0.101,0.087,0.082,,,0.080,0.087,0.083,0.085,0.088,0.146,0.087,0.099,0.086,0.081,,,0.082,0.084,0.083,0.090,0.089,0.149,0.086,0.100,0.088,0.081,,,0.081,0.097,0.098,0.098,0.144,0.146,0.145,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
7:08:56,36.9,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.079,0.081,0.082,0.081,0.080,,,0.080,0.087,0.085,0.087,0.087,0.145,0.087,0.102,0.087,0.082,,,0.080,0.087,0.083,0.085,0.088,0.147,0.087,0.100,0.087,0.082,,,0.082,0.084,0.083,0.090,0.088,0.150,0.086,0.101,0.088,0.081,,,0.081,0.097,0.098,0.098,0.146,0.147,0.147,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.079,0.081,,,,,,,,,,,,,
7:16:28,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.079,0.081,0.082,0.081,0.080,,,0.080,0.087,0.085,0.087,0.087,0.146,0.087,0.103,0.087,0.082,,,0.080,0.088,0.083,0.085,0.088,0.148,0.087,0.101,0.087,0.082,,,0.082,0.084,0.083,0.090,0.089,0.151,0.086,0.102,0.088,0.081,,,0.081,0.097,0.098,0.098,0.147,0.149,0.148,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.079,0.081,,,,,,,,,,,,,
7:24:00,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.079,0.082,0.082,0.081,0.080,,,0.080,0.088,0.085,0.088,0.087,0.148,0.087,0.104,0.087,0.082,,,0.080,0.088,0.083,0.085,0.088,0.149,0.087,0.101,0.087,0.082,,,0.082,0.085,0.083,0.090,0.089,0.153,0.086,0.103,0.088,0.081,,,0.081,0.097,0.098,0.098,0.149,0.150,0.150,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.079,0.081,,,,,,,,,,,,,
7:31:32,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.082,0.081,0.080,,,0.080,0.088,0.085,0.088,0.087,0.149,0.087,0.105,0.088,0.082,,,0.080,0.088,0.083,0.085,0.088,0.151,0.087,0.102,0.087,0.082,,,0.082,0.085,0.083,0.090,0.089,0.154,0.086,0.104,0.088,0.081,,,0.081,0.097,0.098,0.098,0.151,0.152,0.152,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
7:39:04,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.083,0.081,0.080,,,0.080,0.088,0.085,0.088,0.088,0.150,0.088,0.106,0.088,0.082,,,0.080,0.088,0.083,0.085,0.088,0.152,0.087,0.103,0.087,0.082,,,0.082,0.085,0.083,0.090,0.089,0.155,0.087,0.105,0.088,0.082,,,0.081,0.097,0.098,0.098,0.152,0.153,0.153,0.087,0.087,0.086,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.079,0.081,,,,,,,,,,,,,
7:46:36,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.083,0.081,0.080,,,0.080,0.088,0.085,0.088,0.088,0.151,0.088,0.107,0.088,0.082,,,0.080,0.088,0.083,0.085,0.088,0.153,0.088,0.105,0.087,0.082,,,0.082,0.085,0.083,0.090,0.089,0.157,0.087,0.106,0.088,0.081,,,0.081,0.097,0.098,0.099,0.153,0.155,0.155,0.087,0.087,0.085,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
7:54:08,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.083,0.082,0.080,,,0.080,0.088,0.085,0.088,0.088,0.153,0.088,0.109,0.088,0.083,,,0.080,0.088,0.083,0.086,0.089,0.155,0.088,0.106,0.087,0.082,,,0.082,0.085,0.083,0.090,0.090,0.158,0.087,0.107,0.089,0.081,,,0.081,0.098,0.098,0.099,0.155,0.157,0.157,0.087,0.088,0.086,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
8:01:40,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.082,0.081,0.080,,,0.080,0.088,0.085,0.088,0.088,0.154,0.088,0.110,0.088,0.082,,,0.080,0.088,0.083,0.086,0.089,0.156,0.088,0.107,0.087,0.082,,,0.082,0.085,0.083,0.091,0.089,0.159,0.087,0.108,0.089,0.081,,,0.081,0.098,0.098,0.099,0.157,0.159,0.158,0.087,0.088,0.086,,,0.082,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
8:09:12,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.083,0.081,0.080,,,0.080,0.088,0.085,0.089,0.088,0.155,0.088,0.112,0.088,0.082,,,0.080,0.088,0.083,0.086,0.089,0.158,0.088,0.108,0.088,0.082,,,0.082,0.085,0.083,0.091,0.090,0.161,0.087,0.110,0.089,0.082,,,0.081,0.098,0.099,0.099,0.159,0.160,0.161,0.088,0.088,0.086,,,0.082,0.080,0.080,0.080,0.081,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
8:16:44,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.089,0.085,0.089,0.088,0.157,0.088,0.113,0.089,0.083,,,0.080,0.089,0.083,0.086,0.089,0.159,0.088,0.110,0.088,0.082,,,0.082,0.086,0.083,0.091,0.090,0.163,0.087,0.111,0.089,0.082,,,0.081,0.098,0.099,0.099,0.160,0.163,0.163,0.088,0.088,0.086,,,0.082,0.080,0.080,0.081,0.080,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
8:24:16,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.089,0.085,0.089,0.088,0.158,0.089,0.115,0.089,0.083,,,0.080,0.089,0.083,0.086,0.090,0.161,0.088,0.111,0.088,0.082,,,0.082,0.086,0.083,0.091,0.090,0.164,0.088,0.113,0.090,0.082,,,0.081,0.098,0.099,0.099,0.162,0.166,0.165,0.088,0.088,0.086,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
8:31:48,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.089,0.085,0.089,0.089,0.160,0.089,0.116,0.089,0.083,,,0.080,0.089,0.083,0.086,0.090,0.162,0.089,0.113,0.089,0.082,,,0.082,0.086,0.083,0.091,0.091,0.166,0.088,0.114,0.090,0.082,,,0.081,0.098,0.099,0.099,0.164,0.168,0.167,0.088,0.088,0.086,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
8:39:20,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.083,0.082,0.080,,,0.080,0.089,0.085,0.089,0.089,0.161,0.089,0.118,0.089,0.082,,,0.080,0.089,0.083,0.086,0.090,0.164,0.089,0.115,0.089,0.082,,,0.082,0.086,0.083,0.091,0.091,0.167,0.088,0.116,0.090,0.082,,,0.081,0.099,0.099,0.100,0.166,0.169,0.169,0.088,0.088,0.086,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
8:46:52,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.089,0.085,0.089,0.089,0.163,0.089,0.119,0.090,0.082,,,0.080,0.089,0.083,0.087,0.090,0.165,0.089,0.116,0.089,0.082,,,0.082,0.086,0.083,0.091,0.091,0.169,0.088,0.118,0.090,0.082,,,0.081,0.099,0.099,0.100,0.168,0.170,0.171,0.088,0.089,0.087,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
8:54:24,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.083,0.082,0.080,,,0.080,0.090,0.085,0.090,0.089,0.164,0.090,0.121,0.090,0.082,,,0.080,0.090,0.083,0.087,0.091,0.167,0.089,0.118,0.089,0.082,,,0.082,0.086,0.083,0.092,0.092,0.170,0.089,0.119,0.091,0.082,,,0.081,0.099,0.100,0.100,0.170,0.172,0.173,0.089,0.089,0.087,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.081,0.079,0.081,,,,,,,,,,,,,
9:01:56,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.090,0.085,0.090,0.089,0.166,0.090,0.123,0.090,0.083,,,0.080,0.090,0.083,0.087,0.091,0.168,0.090,0.120,0.089,0.082,,,0.082,0.087,0.083,0.092,0.092,0.172,0.089,0.121,0.091,0.082,,,0.081,0.099,0.100,0.100,0.172,0.174,0.175,0.089,0.089,0.087,,,0.082,0.080,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
9:09:28,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.090,0.085,0.090,0.090,0.168,0.090,0.125,0.091,0.083,,,0.080,0.090,0.083,0.087,0.091,0.170,0.090,0.122,0.090,0.082,,,0.082,0.087,0.083,0.092,0.092,0.174,0.089,0.123,0.091,0.082,,,0.081,0.099,0.100,0.100,0.174,0.177,0.177,0.089,0.089,0.087,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
9:17:00,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.091,0.085,0.090,0.090,0.169,0.090,0.127,0.091,0.082,,,0.080,0.090,0.083,0.087,0.092,0.172,0.090,0.123,0.090,0.082,,,0.082,0.087,0.083,0.092,0.093,0.176,0.089,0.125,0.092,0.082,,,0.081,0.099,0.100,0.100,0.177,0.179,0.179,0.089,0.089,0.087,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
9:24:32,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.083,0.082,0.080,,,0.080,0.091,0.085,0.090,0.091,0.171,0.091,0.129,0.092,0.083,,,0.080,0.091,0.083,0.088,0.092,0.174,0.090,0.126,0.091,0.082,,,0.082,0.088,0.083,0.092,0.093,0.178,0.090,0.127,0.092,0.082,,,0.081,0.100,0.100,0.101,0.179,0.182,0.183,0.089,0.090,0.088,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
9:32:04,37.0,,,,,,,,,,,,,,0.081,0.082,0.081,0.081,0.078,0.079,0.082,0.083,0.082,0.080,,,0.080,0.091,0.086,0.091,0.091,0.173,0.091,0.131,0.092,0.083,,,0.080,0.091,0.083,0.088,0.093,0.175,0.091,0.128,0.091,0.082,,,0.082,0.088,0.083,0.093,0.094,0.180,0.090,0.129,0.092,0.082,,,0.081,0.100,0.101,0.101,0.181,0.184,0.184,0.090,0.090,0.088,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
9:39:36,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.092,0.085,0.091,0.091,0.174,0.092,0.133,0.092,0.083,,,0.080,0.091,0.083,0.088,0.093,0.177,0.091,0.130,0.091,0.082,,,0.082,0.088,0.083,0.093,0.094,0.182,0.091,0.131,0.093,0.082,,,0.081,0.100,0.101,0.101,0.183,0.186,0.186,0.090,0.090,0.088,,,0.082,0.081,0.080,0.081,0.081,0.081,0.079,0.080,0.079,0.081,,,,,,,,,,,,,
9:47:08,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.092,0.086,0.091,0.092,0.176,0.092,0.136,0.093,0.083,,,0.080,0.092,0.083,0.088,0.094,0.179,0.092,0.132,0.092,0.082,,,0.082,0.089,0.083,0.093,0.095,0.184,0.091,0.133,0.093,0.082,,,0.081,0.100,0.101,0.101,0.186,0.189,0.189,0.090,0.090,0.088,,,0.082,0.080,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
9:54:40,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.093,0.086,0.092,0.092,0.178,0.093,0.138,0.093,0.082,,,0.080,0.092,0.084,0.089,0.095,0.181,0.092,0.134,0.092,0.082,,,0.082,0.089,0.083,0.094,0.096,0.186,0.092,0.135,0.094,0.082,,,0.081,0.100,0.101,0.101,0.189,0.191,0.192,0.090,0.091,0.089,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
10:02:12,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.093,0.086,0.092,0.093,0.180,0.093,0.140,0.094,0.083,,,0.080,0.092,0.084,0.089,0.095,0.183,0.093,0.136,0.093,0.082,,,0.082,0.089,0.083,0.094,0.097,0.188,0.092,0.138,0.095,0.082,,,0.081,0.101,0.101,0.102,0.191,0.194,0.194,0.090,0.091,0.089,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
10:09:44,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.083,0.082,0.080,,,0.080,0.094,0.086,0.092,0.093,0.182,0.093,0.142,0.095,0.083,,,0.080,0.093,0.084,0.089,0.096,0.186,0.093,0.139,0.094,0.082,,,0.082,0.090,0.083,0.094,0.098,0.190,0.093,0.140,0.095,0.082,,,0.081,0.101,0.102,0.102,0.194,0.197,0.197,0.091,0.091,0.090,,,0.082,0.080,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
10:17:16,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.080,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.094,0.086,0.093,0.094,0.184,0.094,0.145,0.095,0.083,,,0.080,0.094,0.084,0.090,0.097,0.188,0.094,0.141,0.094,0.082,,,0.082,0.091,0.084,0.095,0.099,0.193,0.093,0.143,0.096,0.082,,,0.081,0.101,0.102,0.102,0.197,0.199,0.200,0.091,0.091,0.090,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
10:24:48,37.0,,,,,,,,,,,,,,0.081,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.095,0.086,0.093,0.095,0.186,0.095,0.148,0.096,0.083,,,0.080,0.094,0.084,0.091,0.098,0.190,0.095,0.144,0.095,0.082,,,0.083,0.091,0.084,0.096,0.100,0.195,0.094,0.145,0.097,0.082,,,0.081,0.102,0.102,0.102,0.199,0.202,0.203,0.092,0.092,0.091,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.081,0.079,0.081,,,,,,,,,,,,,
10:32:20,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.096,0.086,0.094,0.096,0.188,0.096,0.150,0.097,0.083,,,0.080,0.095,0.084,0.091,0.099,0.192,0.095,0.146,0.096,0.082,,,0.082,0.092,0.084,0.096,0.101,0.197,0.095,0.148,0.098,0.082,,,0.081,0.102,0.102,0.102,0.202,0.205,0.206,0.092,0.092,0.091,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.080,0.079,0.081,,,,,,,,,,,,,
10:39:52,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.096,0.086,0.095,0.097,0.191,0.097,0.153,0.098,0.083,,,0.080,0.096,0.084,0.092,0.101,0.195,0.096,0.149,0.097,0.082,,,0.082,0.092,0.084,0.096,0.102,0.200,0.096,0.150,0.099,0.082,,,0.081,0.102,0.102,0.103,0.205,0.208,0.209,0.093,0.093,0.091,,,0.082,0.081,0.080,0.081,0.081,0.082,0.080,0.081,0.079,0.081,,,,,,,,,,,,,
10:47:24,37.0,,,,,,,,,,,,,,0.081,0.082,0.081,0.081,0.078,0.079,0.082,0.082,0.082,0.080,,,0.080,0.097,0.087,0.095,0.098,0.193,0.097,0.156,0.099,0.083,,,0.080,0.096,0.084,0.092,0.102,0.197,0.097,0.152,0.098,0.082,,,0.082,0.093,0.084,0.097,0.103,0.202,0.097,0.153,0.100,0.082,,,0.081,0.102,0.103,0.103,0.208,0.211,0.212,0.093,0.093,0.092,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.081,0.079,0.081,,,,,,,,,,,,,
10:54:56,36.9,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.083,0.082,0.080,,,0.080,0.098,0.087,0.096,0.099,0.195,0.098,0.159,0.100,0.083,,,0.080,0.097,0.084,0.092,0.103,0.199,0.098,0.154,0.099,0.082,,,0.082,0.094,0.084,0.098,0.105,0.205,0.098,0.156,0.101,0.082,,,0.081,0.102,0.103,0.103,0.211,0.214,0.215,0.094,0.094,0.092,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.081,0.079,0.081,,,,,,,,,,,,,
11:02:28,37.0,,,,,,,,,,,,,,0.081,0.082,0.081,0.081,0.078,0.079,0.082,0.083,0.082,0.080,,,0.080,0.099,0.087,0.097,0.101,0.198,0.100,0.162,0.101,0.083,,,0.080,0.098,0.085,0.093,0.105,0.202,0.099,0.158,0.100,0.082,,,0.082,0.095,0.084,0.098,0.107,0.207,0.099,0.159,0.102,0.082,,,0.081,0.103,0.103,0.103,0.214,0.217,0.218,0.094,0.095,0.093,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.081,0.079,0.081,,,,,,,,,,,,,
11:10:00,37.0,,,,,,,,,,,,,,0.080,0.082,0.081,0.081,0.078,0.079,0.082,0.083,0.082,0.080,,,0.080,0.100,0.087,0.097,0.102,0.200,0.101,0.165,0.103,0.083,,,0.080,0.099,0.085,0.094,0.107,0.204,0.100,0.161,0.101,0.082,,,0.082,0.096,0.085,0.099,0.108,0.210,0.100,0.162,0.104,0.082,,,0.081,0.103,0.104,0.104,0.218,0.220,0.222,0.095,0.095,0.094,,,0.082,0.081,0.080,0.081,0.081,0.081,0.080,0.081,0.079,0.081,,,,,,,,,,,,,
