strain,elapsed_time_hr,od_600nm,technical_replicate,growth_medium,date,run_number,identifier,class
WT,0.0,0.0321851851851851,1,glucose,2021-07-25,1,GC001,WT
WT,0.1255555555555556,0.036074074074074,1,glucose,2021-07-25,1,GC001,WT
WT,0.2511111111111113,0.0401111111111111,1,glucose,2021-07-25,1,GC001,WT
WT,0.3766666666666669,0.0451111111111111,1,glucose,2021-07-25,1,GC001,WT
WT,0.5022222222222226,0.0519629629629629,1,glucose,2021-07-25,1,GC001,WT
WT,0.6277777777777782,0.0602222222222222,1,glucose,2021-07-25,1,GC001,WT
WT,0.7533333333333334,0.0681481481481481,1,glucose,2021-07-25,1,GC001,WT
WT,0.878888888888889,0.075,1,glucose,2021-07-25,1,GC001,WT
WT,1.0044444444444447,0.088074074074074,1,glucose,2021-07-25,1,GC001,WT
WT,1.1300000000000003,0.1001481481481481,1,glucose,2021-07-25,1,GC001,WT
WT,1.255555555555556,0.1141111111111111,1,glucose,2021-07-25,1,GC001,WT
WT,1.3811111111111112,0.1311481481481481,1,glucose,2021-07-25,1,GC001,WT
WT,1.5066666666666668,0.149074074074074,1,glucose,2021-07-25,1,GC001,WT
WT,1.6322222222222225,0.171037037037037,1,glucose,2021-07-25,1,GC001,WT
WT,1.757777777777778,0.1960740740740741,1,glucose,2021-07-25,1,GC001,WT
WT,1.8833333333333335,0.2231111111111111,1,glucose,2021-07-25,1,GC001,WT
WT,2.0088888888888894,0.254074074074074,1,glucose,2021-07-25,1,GC001,WT
WT,2.134444444444445,0.2871111111111111,1,glucose,2021-07-25,1,GC001,WT
WT,2.26,0.323,1,glucose,2021-07-25,1,GC001,WT
WT,0.0,0.0301111111111111,2,glucose,2021-07-25,1,GC001,WT
WT,0.1255555555555552,0.0341851851851851,2,glucose,2021-07-25,1,GC001,WT
WT,0.2511111111111108,0.037074074074074,2,glucose,2021-07-25,1,GC001,WT
WT,0.3766666666666665,0.0421111111111111,2,glucose,2021-07-25,1,GC001,WT
WT,0.5022222222222221,0.0471111111111111,2,glucose,2021-07-25,1,GC001,WT
WT,0.6277777777777778,0.0539629629629629,2,glucose,2021-07-25,1,GC001,WT
WT,0.7533333333333334,0.0612222222222222,2,glucose,2021-07-25,1,GC001,WT
WT,0.8788888888888886,0.0681481481481481,2,glucose,2021-07-25,1,GC001,WT
WT,1.0044444444444445,0.078,2,glucose,2021-07-25,1,GC001,WT
WT,1.13,0.090074074074074,2,glucose,2021-07-25,1,GC001,WT
WT,1.2555555555555555,0.1021481481481481,2,glucose,2021-07-25,1,GC001,WT
WT,1.3811111111111112,0.1161111111111111,2,glucose,2021-07-25,1,GC001,WT
WT,1.5066666666666664,0.1331481481481481,2,glucose,2021-07-25,1,GC001,WT
WT,1.632222222222222,0.152074074074074,2,glucose,2021-07-25,1,GC001,WT
WT,1.7577777777777777,0.174037037037037,2,glucose,2021-07-25,1,GC001,WT
WT,1.8833333333333333,0.1980740740740741,2,glucose,2021-07-25,1,GC001,WT
WT,2.008888888888889,0.2251111111111111,2,glucose,2021-07-25,1,GC001,WT
WT,2.1344444444444446,0.257074074074074,2,glucose,2021-07-25,1,GC001,WT
WT,2.26,0.2901111111111111,2,glucose,2021-07-25,1,GC001,WT
WT,2.385555555555555,0.3269999999999999,2,glucose,2021-07-25,1,GC001,WT
WT,0.0,0.0301851851851851,3,glucose,2021-07-25,1,GC001,WT
WT,0.1255555555555556,0.034074074074074,3,glucose,2021-07-25,1,GC001,WT
WT,0.2511111111111113,0.0381111111111111,3,glucose,2021-07-25,1,GC001,WT
WT,0.3766666666666669,0.0431111111111111,3,glucose,2021-07-25,1,GC001,WT
WT,0.5022222222222226,0.0499629629629629,3,glucose,2021-07-25,1,GC001,WT
WT,0.6277777777777782,0.0572222222222222,3,glucose,2021-07-25,1,GC001,WT
WT,0.7533333333333334,0.0641481481481481,3,glucose,2021-07-25,1,GC001,WT
WT,0.878888888888889,0.073,3,glucose,2021-07-25,1,GC001,WT
WT,1.0044444444444447,0.085074074074074,3,glucose,2021-07-25,1,GC001,WT
WT,1.1300000000000003,0.0971481481481481,3,glucose,2021-07-25,1,GC001,WT
WT,1.255555555555556,0.1111111111111111,3,glucose,2021-07-25,1,GC001,WT
